Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-04-08 03:15:30,Sp-Tå,60,50,10,11,39,2,2,257.51,1008.68,799.93,208.75,11.7,10.87,13.75,North,0.61,South,2.2,309.65,13.19,38.68,205.65
2019-04-08 05:16:30,Sp-Tå,60,50,10,11,40,2,2,261.89,1031.31,818.64,212.67,11.6,10.76,14.5,North,0.47,South,2.1,263.58,14.33,42.24,205.33
2019-04-08 19:13:00,Sp-Tå,61,51,10,11,40,1,2,263.31,1023.82,807.39,216.42,11.5,10.63,6.51,East,1.46,North,2.3,326.37,11.7,30.25,221.36
2019-04-08 13:14:00,Sp-Tå,60,51,9,12,39,2,2,268.74,1041.26,820.91,220.35,11.9,11.05,14.94,North,0.85,North,2.1,298.5,11.41,35.61,221.72
2019-04-08 15:13:30,Sp-Tå,60,51,9,12,40,2,2,274.12,1066.54,842.07,224.47,11.9,11.03,11.53,North,0.66,North,1.6,388.45,11.36,37.37,225.39
2019-04-08 17:14:00,Sp-Tå,60,50,10,11,40,1,2,279.18,1082.44,862.07,220.37,11.9,10.91,8.11,North,1.03,North,2.2,528.16,11.75,34.17,233.26
2019-04-08 11:14:30,Sp-Tå,61,51,10,12,40,2,2,288.27,1119.89,887.42,232.47,11.5,10.81,15.14,East,1.01,North,2.0,245.24,14.08,37.63,236.56
2019-04-08 07:16:30,Sp-Tå,59,50,9,11,39,2,3,289.48,1130.1,902.12,227.98,11.8,10.82,20.19,North,0.76,North,2.0,279.68,13.33,45.12,231.04
2019-04-08 09:16:00,Sp-Tå,58,49,10,11,38,2,3,309.21,1213.32,978.5,234.81,12.9,11.4,18.21,East,0.94,North,2.4,372.36,12.74,37.38,259.09
2019-04-08 20:13:30,Tå-Sp,63,48,15,11,37,0,2,249.85,973.28,764.81,208.47,12.2,11.34,7.25,North,1.7,North,2.2,105.95,10.42,33.8,205.63
2019-04-08 10:14:00,Tå-Sp,61,49,12,11,38,1,2,252.5,989.44,774.46,214.99,12.1,11.25,13.52,East,1.01,North,2.0,140.52,10.01,36.21,206.28
2019-04-08 18:13:30,Tå-Sp,60,49,11,11,38,1,2,256.65,1008.06,790.8,217.27,11.9,11.15,8.62,North,1.32,North,2.3,112.13,8.16,33.49,215.0
2019-04-08 16:13:30,Tå-Sp,61,50,11,12,39,1,2,258.47,1015.65,794.95,220.7,12.1,10.98,10.3,North,0.86,North,2.2,102.48,8.85,35.9,213.72
2019-04-08 14:13:30,Tå-Sp,60,51,9,12,40,2,2,258.89,1011.07,791.78,219.29,11.7,10.71,16.7,North,0.67,North,2.1,105.7,11.76,39.31,207.82
2019-04-08 12:15:30,Tå-Sp,59,51,8,12,39,2,2,261.4,1015.74,799.8,215.94,11.7,10.94,12.73,North,0.92,North,2.2,110.31,9.81,39.03,212.56
2019-04-08 04:15:00,Tå-Sp,62,48,14,10,39,1,3,261.46,1044.42,828.99,215.43,12.9,10.95,14.5,North,0.43,South,2.7,53.13,14.18,31.02,216.26
2019-04-08 08:15:00,Tå-Sp,61,48,14,10,38,2,2,262.73,1010.46,797.36,213.1,12.6,11.13,17.04,North,0.9,North,2.1,200.03,17.0,32.1,213.63
2019-04-08 06:16:00,Tå-Sp,61,48,13,10,39,2,3,274.62,1055.57,842.28,213.3,12.8,11.03,20.61,North,0.69,North,2.2,105.57,24.59,29.81,220.22
